rid	speed	provider	name	when_cash
R6323	weeks	townoilcompany.com	townoilcompany.com — energy switch incentive	
R6324	weeks	sosxtremecomfort.com	sosxtremecomfort.com — energy switch incentive	
R6336	weeks	irvingoil.com	irvingoil.com — energy switch incentive	
R5514	weeks	Compassenergy	Compassenergy — energy switch incentive	
R5517	weeks	Kanuikoil	Kanuikoil — energy switch incentive	
R0782	weeks	Con Edison	Con Edison — utility/energy rebate	
R0812	weeks	Acorns	Acorns — utility/energy rebate	
R0821	weeks	Upromise (by Sallie Mae)	Upromise (by Sallie Mae) — utility/energy rebate	
R0822	weeks	Daily Harvest	Daily Harvest — utility/energy rebate	
R0757	weeks	Duke Energy	Duke Energy — utility/energy rebate	
R0763	weeks	PECO (Philadelphia Electric Company)	PECO (Philadelphia Electric Company) — utility/energy rebate	
R0779	weeks	Florida Power & Light Company	Florida Power & Light Company — utility/energy rebate	
R1191	weeks	Verizon	Verizon — isp signup promo	
R0762	weeks	Florida Power & Light Company	Florida Power & Light Company — utility/energy rebate	
R0773	weeks	Residential	Residential — utility/energy rebate	
R0787	weeks	Cricketwireless	Cricketwireless — utility/energy rebate	
R0813	weeks	Open to the Public Investing, Inc.	Open to the Public Investing, Inc. — utility/energy rebate	
R0791	weeks	Con Edison	Con Edison — utility/energy rebate	
R0797	weeks	Co	Co — utility/energy rebate	
R0798	weeks	Nm	Nm — utility/energy rebate	
R0801	weeks	Georgiapower	Georgiapower — utility/energy rebate	
R0811	weeks	MoneyLion Technologies Inc.	MoneyLion Technologies Inc. — utility/energy rebate	
R0771	weeks	National Grid / Mass Save	National Grid / Mass Save — utility/energy rebate	
R0780	weeks	National Grid / Mass Save	National Grid / Mass Save — utility/energy rebate	
R0807	weeks	Extrabux	Extrabux — utility/energy rebate	
R0809	weeks	Options Medical Weight Loss	Options Medical Weight Loss — utility/energy rebate	
R0819	weeks	User Interviews	User Interviews — utility/energy rebate	
R0772	weeks	ComEd (Commonwealth Edison)	ComEd (Commonwealth Edison) — utility/energy rebate	
R0784	weeks	Firstenergycorp	Firstenergycorp — utility/energy rebate	
R0788	weeks	T-Mobile	T-Mobile — utility/energy rebate	
